ID,Title,Price,Brand,Rating,Reviews,Material,Color,AssemblyNeeded,MadeIn,Warranty Days,Image,Category/Class
39628797,Alazyhome Upholstered Platform Bed Frameby Alazyhome,223.76 EUR,Alazyhome,4.4,36,Upholstered,"Black,
Grey,
Pink,
Yellow",Yes,China,90,https://ak1.ostkcdn.com/images/products/is/images/direct/ed2514df617827fd7c8d9eab896172c70f8a212d/alazyhome-Upholstered-Platform-Bed-Frame%2C-Easy-Assemble.jpg,HomeItem/Furniture/BedroomFurniture/Bed/AdultBed
40763310,"NNV 14"" 3500 lbs Heavy Duty Bed Frame, Duty Steel Slat Metal Bed Frame",104.08 EUR,No Info,4.9,9,Metal,Black,Yes,China,90,https://ak1.ostkcdn.com/images/products/is/images/direct/03734d7463d2eab8b86443d490abf0a5fa866cf6/NNV-14%22-3500-lbs-Heavy-Duty-California-Bed-Frame%2C-Duty-Steel-Slat-Metal-Bed-Frame.jpg,HomeItem/Furniture/BedroomFurniture/Bed/AdultBed
34020740,Best Quality Furniture Velvet Faux Crystal Tufted Beds with Faux Crystal Studded Border,153.80 EUR,No Info,4.3,66,Upholstered,"Black,
Blue,
Grey",Yes,China,30,https://ak1.ostkcdn.com/images/products/is/images/direct/8c523de34d6857e6b3214e3f4bb6c7c08cddc4ae/Best-Quality-Furniture-Velvet-Faux-Crystal-Tufted-Beds-with-Faux-Crystal-Studded-Border.jpg,HomeItem/Furniture/BedroomFurniture/Bed/AdultBed
33180577,Kotter Home Modern Industral Cordova Metal Bed Frameby Kotter Home,272.90 EUR,Kotter Home,4.3,74,Metal,Brown,Yes,China,0,https://ak1.ostkcdn.com/images/products/is/images/direct/a47942e09d11c9b004b7dab974245ea920445883/Kotter-Home-Zinnia-Victorian-Metal---Iron-Bed.jpg,HomeItem/Furniture/BedroomFurniture/Bed/AdultBed
32351275,Middlebrook Blaney Solid Wood Spindle Platform Bedby Middlebrook Designs,341.81 EUR,Middlebrook Designs,3.7,1047,Wood,"Black,
Brown,
White,
Yellow",Yes,Brazil,90,https://ak1.ostkcdn.com/images/products/is/images/direct/699413be95be54639d9590f5679eb9d0beeec30b/Middlebrook-Blaney-Solid-Wood-Spindle-Platform-Bed.jpg,HomeItem/Furniture/BedroomFurniture/Bed/AdultBed
38159423,King-sized Velvet Platform Bed Frame,372.59 EUR,No Info,4.3,29,Upholstered,"Beige,
Black,
Blue,
Grey",Yes,China,90,https://ak1.ostkcdn.com/images/products/is/images/direct/6bfb3a794d2a11b57bcd8f8540358fa99de6d03f/Morden-Fort-Upholstered-Platform-Bed-Frame%2CVelvet%2C-Blue%2C-King.jpg,HomeItem/Furniture/BedroomFurniture/Bed/AdultBed
40228235,BIKAHOM Mid-Century Modern Solid Wooden Platform Bed with Adjustable Height Headboard for Bedroom,348.77 EUR,No Info,4.8,21,Wood,Beige,Yes,China,0,https://ak1.ostkcdn.com/images/products/is/images/direct/11fff0e3b5d95a2aec96990bdac74ceeec3b604f/BIKAHOM-Mid-Century-Modern-Solid-Wooden-Platform-Bed-with-Adjustable-Height-Headboard-for-Bedroom.jpg,HomeItem/Furniture/BedroomFurniture/Bed/AdultBed
39769751,Alazyhome Sturdy Metal Platform Bed Frameby Alazyhome,192.37 EUR,Alazyhome,4.6,15,Metal,"Black,
Brown,
White",Yes,China,90,https://ak1.ostkcdn.com/images/products/is/images/direct/c18866be3eec7367d33d83ed8fa930ac3f886c1f/Alazyhome-Sturdy-Metal-Platform-Bed-Frame.jpg,HomeItem/Furniture/BedroomFurniture/Bed/AdultBed
17551717,Grain Wood Furniture Montauk Distressed Solid Wood Panel Bedby Grain Wood Furniture,398.47 EUR,Grain Wood Furniture,4.6,1095,Wood,"Beige,
Black,
Blue,
Brown,
Cream,
Grey,
Tan,
White",Yes,Brazil,90,https://ak1.ostkcdn.com/images/products/is/images/direct/0c0327fc4fe379e5d02c72f8b32659c10005e6a3/Grain-Wood-Furniture-Montauk-Queen-Solid-Wood-Panel-Bed.jpg,HomeItem/Furniture/BedroomFurniture/Bed/AdultBed
18051034,Kotter Home Solid Wood Mid-century Modern Platform Bedby Kotter Home,324.01 EUR,Kotter Home,4.4,1633,Wood,"Black,
Brown,
Grey,
Tan,
White",Yes,Vietnam,0,https://ak1.ostkcdn.com/images/products/is/images/direct/174ff2226400b4b1096aae725ab41fa37b334eff/Kotter-Home-Solid-Wood-Mid-century-Platform-Bed.jpg,HomeItem/Furniture/BedroomFurniture/Bed/AdultBed
